ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,masculinity,likability,friends,typicality
9,8,22,2,4,typical,748,713,1,1,1,1,1,5
9,9,22,2,4,typical,721,714,1,7,7,6,6,4
9,10,22,2,4,typical,744,716,2,1,1,3,1,6
9,11,22,2,4,typical,737,719,1,6,3,5,5,6
9,12,22,2,4,typical,744,722,1,8,9,6,4,5
9,13,22,2,4,typical,748,730,1,3,6,5,2,6
9,14,22,2,4,typical,721,733,1,5,6,9,7,3
9,15,22,2,4,typical,750,736,1,9,7,4,2,4
9,16,22,2,4,typical,748,740,2,7,6,7,5,4
9,17,22,2,4,typical,750,743,2,7,7,9,5,3
9,18,22,2,4,typical,737,745,1,9,8,5,6,3
9,19,22,2,4,typical,744,746,2,9,9,9,8,3
9,20,22,2,4,typical,721,749,1,9,7,6,9,5
10,1,23,2,4,atypical,721,749,1,8,8,8,5,6
10,2,23,2,4,atypical,744,746,2,9,9,9,9,6
10,3,23,2,4,atypical,737,745,2,9,9,5,5,2
10,4,23,2,4,atypical,750,743,2,8,5,9,9,6
10,5,23,2,4,atypical,748,740,1,7,8,6,5,9
10,6,23,2,4,atypical,750,736,2,4,6,7,5,5
10,7,23,2,4,atypical,721,733,1,7,7,9,9,6
10,8,23,2,4,atypical,748,730,3,9,9,5,5,3
10,9,23,2,4,atypical,744,722,2,9,9,9,9,6
10,10,23,2,4,atypical,737,719,2,6,4,9,8,7
10,11,23,2,4,atypical,744,716,2,9,9,3,5,4
10,12,23,2,4,atypical,721,714,3,6,7,3,2,7
10,13,23,2,4,atypical,748,713,2,2,2,8,8,3
10,14,23,2,4,atypical,750,710,2,8,8,8,8,6
10,15,23,2,4,atypical,737,709,2,7,8,6,3,7
10,16,23,2,4,atypical,748,707,2,3,5,7,5,8
10,17,23,2,4,atypical,744,706,1,9,7,4,5,3
10,18,23,2,4,atypical,737,704,2,3,7,5,5,7
10,19,23,2,4,atypical,721,703,1,7,8,5,5,7
10,20,23,2,4,atypical,750,701,2,8,3,7,7,2
11,1,21,2,4,atypical,750,701,2,5,6,8,8,6
11,2,21,2,4,atypical,721,703,2,9,9,9,9,8
11,3,21,2,4,atypical,737,704,2,8,7,8,7,6
11,4,21,2,4,atypical,744,706,2,7,6,8,7,6
11,5,21,2,4,atypical,748,707,1,4,8,7,5,7
11,6,21,2,4,atypical,737,709,2,9,6,8,8,8
11,7,21,2,4,atypical,750,710,2,8,8,8,7,7
11,8,21,2,4,atypical,748,713,2,7,7,7,7,9
11,9,21,2,4,atypical,721,714,1,7,8,7,6,8
11,10,21,2,4,atypical,744,716,2,6,5,7,7,7
11,11,21,2,4,atypical,737,719,2,6,6,8,6,8
11,12,21,2,4,atypical,744,722,2,8,7,8,7,9
11,13,21,2,4,atypical,748,730,1,8,7,8,7,6
11,14,21,2,4,atypical,721,733,2,6,6,8,6,8
11,15,21,2,4,atypical,750,736,2,8,8,7,7,8
11,16,21,2,4,atypical,748,740,2,8,7,8,7,7
11,17,21,2,4,atypical,750,743,3,6,6,7,6,7
11,18,21,2,4,atypical,737,745,2,9,7,8,7,6
11,19,21,2,4,atypical,744,746,2,7,7,8,7,9
11,20,21,2,4,atypical,721,749,1,9,7,8,7,8
12,1,28,2,4,typical,721,749,1,7,8,7,6,8
12,2,28,2,4,typical,744,746,2,8,8,8,8,8
12,3,28,2,4,typical,737,745,3,5,5,9,7,6
12,4,28,2,4,typical,750,743,2,7,4,8,8,4
12,5,28,2,4,typical,748,740,3,6,7,7,8,5
12,6,28,2,4,typical,750,736,2,5,5,6,4,4
12,7,28,2,4,typical,721,733,1,5,5,7,7,5
12,8,28,2,4,typical,748,730,3,4,4,6,6,4
12,9,28,2,4,typical,744,722,2,7,9,5,4,7
12,10,28,2,4,typical,737,719,1,4,3,6,6,4
12,11,28,2,4,typical,744,716,1,6,8,5,4,6
12,12,28,2,4,typical,721,714,1,3,4,4,4,5
12,13,28,2,4,typical,748,713,3,3,3,3,3,4
12,14,28,2,4,typical,750,710,3,6,6,4,4,8
12,15,28,2,4,typical,737,709,1,3,3,4,4,3
12,16,28,2,4,typical,748,707,1,8,8,3,3,8
12,17,28,2,4,typical,744,706,2,4,4,5,6,4
12,18,28,2,4,typical,737,704,1,4,3,5,5,5
12,19,28,2,4,typical,721,703,1,6,6,6,7,7
12,20,28,2,4,typical,750,701,3,3,2,7,7,3
13,1,19,1,4,atypical,750,701,2,4,5,4,4,5
13,2,19,1,4,atypical,721,703,1,3,4,4,5,3
13,3,19,1,4,atypical,737,704,2,5,5,6,5,6
13,4,19,1,4,atypical,744,706,2,7,5,7,6,5
13,5,19,1,4,atypical,748,707,2,6,4,5,5,8
13,6,19,1,4,atypical,737,709,1,7,5,6,5,5
13,7,19,1,4,atypical,750,710,2,6,6,6,6,6
13,8,19,1,4,atypical,748,713,2,6,6,6,5,6
13,9,19,1,4,atypical,721,714,1,9,9,9,9,9
13,10,19,1,4,atypical,744,716,3,9,9,9,9,9
13,11,19,1,4,atypical,737,719,1,7,7,6,5,7
13,12,19,1,4,atypical,744,722,2,8,8,7,6,6
13,13,19,1,4,atypical,748,730,2,9,9,8,9,6
13,14,19,1,4,atypical,721,733,1,8,8,7,7,8
13,15,19,1,4,atypical,750,736,3,6,6,5,4,6
13,16,19,1,4,atypical,748,740,2,7,8,6,8,7
13,17,19,1,4,atypical,750,743,3,9,9,9,9,9
13,18,19,1,4,atypical,737,745,2,9,9,9,9,6
13,19,19,1,4,atypical,744,746,2,7,7,7,7,8
13,20,19,1,4,atypical,721,749,1,7,9,7,7,7
14,1,20,2,4,typical,721,749,1,3,6,6,4,9
14,2,20,2,4,typical,744,746,2,1,7,7,7,9
14,3,20,2,4,typical,737,745,1,7,5,7,6,3
14,4,20,2,4,typical,750,743,1,1,4,3,2,3
14,5,20,2,4,typical,748,740,1,5,5,4,3,7
14,6,20,2,4,typical,750,736,1,6,6,8,7,8
14,7,20,2,4,typical,721,733,1,1,3,3,1,5
14,8,20,2,4,typical,748,730,3,5,3,6,5,4
14,9,20,2,4,typical,744,722,1,3,4,7,3,5
14,10,20,2,4,typical,737,719,1,6,4,8,9,6
14,11,20,2,4,typical,744,716,1,7,8,5,5,9
14,12,20,2,4,typical,721,714,1,2,7,5,5,8
14,13,20,2,4,typical,748,713,3,1,6,3,2,7
14,14,20,2,4,typical,750,710,1,6,4,5,3,6
14,15,20,2,4,typical,737,709,1,6,6,8,8,5
14,16,20,2,4,typical,748,707,1,8,7,6,9,4
14,17,20,2,4,typical,744,706,1,6,4,8,8,2
14,18,20,2,4,typical,737,704,1,3,7,1,1,7
14,19,20,2,4,typical,721,703,1,7,6,8,9,8
14,20,20,2,4,typical,750,701,1,2,2,5,1,4
15,1,21,2,4,typical,750,701,1,2,2,3,4,4
15,2,21,2,4,typical,721,703,1,8,5,8,8,7
15,3,21,2,4,typical,737,704,1,1,3,1,1,3
15,4,21,2,4,typical,744,706,2,3,2,3,3,5
15,5,21,2,4,typical,748,707,1,6,5,8,8,6
15,6,21,2,4,typical,737,709,1,5,4,6,6,6
15,7,21,2,4,typical,750,710,1,3,3,3,3,4
15,8,21,2,4,typical,748,713,2,1,1,3,4,2
15,9,21,2,4,typical,721,714,1,9,7,9,9,5
15,10,21,2,4,typical,744,716,2,1,1,3,3,3
15,11,21,2,4,typical,737,719,1,8,6,9,9,6
15,12,21,2,4,typical,744,722,1,9,7,9,9,8
15,13,21,2,4,typical,748,730,1,3,5,3,3,7
15,14,21,2,4,typical,721,733,1,1,1,6,6,4
15,15,21,2,4,typical,750,736,1,6,4,6,6,8
15,16,21,2,4,typical,748,740,3,4,4,6,6,7
15,17,21,2,4,typical,750,743,3,4,4,4,4,4
15,18,21,2,4,typical,737,745,1,2,5,3,5,2
15,19,21,2,4,typical,744,746,2,6,6,8,8,5
15,20,21,2,4,typical,721,749,1,7,8,8,8,5
16,1,32,1,4,atypical,721,749,1,8,5,7,7,5
16,2,32,1,4,atypical,744,746,2,6,7,7,7,6
16,3,32,1,4,atypical,737,745,2,5,4,5,5,5
16,4,32,1,4,atypical,750,743,1,9,7,9,9,6
16,5,32,1,4,atypical,748,740,2,7,7,7,7,7
16,6,32,1,4,atypical,750,736,2,8,8,8,8,7
16,7,32,1,4,atypical,721,733,1,9,9,9,9,9
16,8,32,1,4,atypical,748,730,3,7,8,8,8,8
16,9,32,1,4,atypical,744,722,2,9,9,9,9,9
16,10,32,1,4,atypical,737,719,2,9,9,9,9,9
16,11,32,1,4,atypical,744,716,2,9,9,9,9,9
16,12,32,1,4,atypical,721,714,2,9,7,8,8,8
16,13,32,1,4,atypical,748,713,2,8,8,8,8,8
16,14,32,1,4,atypical,750,710,2,8,8,8,8,8
16,15,32,1,4,atypical,737,709,2,9,9,9,9,9
16,16,32,1,4,atypical,748,707,2,9,5,9,9,9
16,17,32,1,4,atypical,744,706,3,8,7,7,7,7
16,18,32,1,4,atypical,737,704,1,9,3,7,7,7
16,19,32,1,4,atypical,721,703,3,9,6,6,6,6
16,20,32,1,4,atypical,750,701,2,9,3,7,7,7
17,1,19,2,4,atypical,750,701,1,6,8,8,8,5
17,2,19,2,4,atypical,721,703,1,8,8,6,6,8
17,3,19,2,4,atypical,737,704,2,8,8,8,7,7
17,4,19,2,4,atypical,744,706,2,5,7,6,6,8
17,5,19,2,4,atypical,748,707,3,8,6,8,8,8
17,6,19,2,4,atypical,737,709,1,6,8,7,6,8
17,7,19,2,4,atypical,750,710,2,7,7,6,6,8
17,8,19,2,4,atypical,748,713,2,8,9,8,7,8
17,9,19,2,4,atypical,721,714,2,9,8,6,6,8
17,10,19,2,4,atypical,744,716,2,5,8,5,4,7
17,11,19,2,4,atypical,737,719,2,6,6,5,5,9
17,12,19,2,4,atypical,744,722,2,7,7,8,8,7
17,13,19,2,4,atypical,748,730,3,8,7,8,6,6
17,14,19,2,4,atypical,721,733,3,5,5,7,7,9
17,15,19,2,4,atypical,750,736,3,9,8,6,6,7
17,16,19,2,4,atypical,748,740,2,7,7,8,6,6
17,17,19,2,4,atypical,750,743,2,8,8,8,8,8
17,18,19,2,4,atypical,737,745,3,7,6,6,5,6
17,19,19,2,4,atypical,744,746,2,4,8,5,5,9
17,20,19,2,4,atypical,721,749,3,7,7,6,7,8
18,1,21,2,4,typical,750,701,1,6,4,7,7,2
18,2,21,2,4,typical,721,703,1,9,2,5,7,8
18,3,21,2,4,typical,737,704,1,7,6,7,7,4
18,4,21,2,4,typical,744,706,1,8,2,7,6,7
18,5,21,2,4,typical,748,707,1,9,3,3,7,9
18,6,21,2,4,typical,737,709,1,9,7,7,8,5
18,7,21,2,4,typical,750,710,1,6,3,6,6,5
18,8,21,2,4,typical,748,713,1,8,6,7,7,5
18,9,21,2,4,typical,721,714,1,6,1,3,5,9
18,10,21,2,4,typical,744,716,1,6,3,5,5,4
18,11,21,2,4,typical,737,719,1,5,3,5,5,7
18,12,21,2,4,typical,744,722,1,9,8,8,8,6
18,13,21,2,4,typical,748,730,1,6,5,5,6,4
18,14,21,2,4,typical,721,733,1,8,5,6,7,4
18,15,21,2,4,typical,750,736,1,8,7,7,6,7
18,16,21,2,4,typical,748,740,1,8,6,7,7,5
18,17,21,2,4,typical,750,743,2,7,5,6,5,4
18,18,21,2,4,typical,737,745,1,8,8,8,8,3
18,19,21,2,4,typical,744,746,1,8,8,8,7,7
18,20,21,2,4,typical,721,749,1,7,7,7,5,6
19,1,30,1,4,atypical,721,749,2,7,8,7,6,7
19,2,30,1,4,atypical,744,746,2,9,8,7,7,6
19,3,30,1,4,atypical,737,745,1,1,3,4,3,7
19,4,30,1,4,atypical,750,743,2,1,1,3,1,3
19,5,30,1,4,atypical,748,740,2,4,6,5,5,9
19,6,30,1,4,atypical,750,736,2,6,7,3,1,7
19,7,30,1,4,atypical,721,733,1,5,3,9,7,4
19,8,30,1,4,atypical,748,730,3,4,7,6,4,8
19,9,30,1,4,atypical,744,722,2,9,8,9,8,3
19,10,30,1,4,atypical,737,719,2,8,8,2,3,7
19,11,30,1,4,atypical,744,716,2,1,6,1,1,2
19,12,30,1,4,atypical,721,714,2,1,2,2,1,1
19,13,30,1,4,atypical,748,713,2,4,4,7,6,8
19,14,30,1,4,atypical,750,710,2,7,3,3,3,9
19,15,30,1,4,atypical,737,709,2,5,4,6,3,8
19,16,30,1,4,atypical,748,707,2,9,7,2,2,6
19,17,30,1,4,atypical,744,706,2,2,1,4,4,7
19,18,30,1,4,atypical,737,704,2,1,3,1,3,8
19,19,30,1,4,atypical,721,703,1,6,8,6,5,9
19,20,30,1,4,atypical,750,701,2,8,3,5,5,1
20,1,27,2,5,typical,721,749,1,7,5,4,6,7
20,2,27,2,5,typical,744,746,3,6,7,7,7,8
20,3,27,2,5,typical,737,745,1,4,6,6,7,9
20,4,27,2,5,typical,750,743,2,4,4,9,4,3
20,5,27,2,5,typical,748,740,1,5,5,7,9,6
20,6,27,2,5,typical,750,736,1,7,4,8,6,9
20,7,27,2,5,typical,721,733,1,4,4,9,8,7
20,8,27,2,5,typical,748,730,1,5,5,6,4,6
20,9,27,2,5,typical,744,722,2,6,5,9,8,9
20,10,27,2,5,typical,737,719,1,5,4,7,8,9
20,11,27,2,5,typical,744,716,1,4,3,3,3,4
20,12,27,2,5,typical,721,714,1,5,7,7,1,7
20,13,27,2,5,typical,748,713,3,5,4,4,4,7
20,14,27,2,5,typical,750,710,1,5,5,5,4,9
20,15,27,2,5,typical,737,709,1,5,5,9,6,9
20,16,27,2,5,typical,748,707,1,4,4,9,8,7
20,17,27,2,5,typical,744,706,1,7,4,9,7,5
20,18,27,2,5,typical,737,704,1,3,4,4,5,7
20,19,27,2,5,typical,721,703,1,8,6,9,7,7
20,20,27,2,5,typical,750,701,3,5,5,5,5,9
21,1,20,2,4,typical,750,701,1,4,3,4,2,3
21,2,20,2,4,typical,721,703,1,6,5,4,6,8
21,3,20,2,4,typical,737,704,1,2,4,3,1,2
21,4,20,2,4,typical,744,706,3,9,5,8,7,5
21,5,20,2,4,typical,748,707,1,6,4,8,5,7
21,6,20,2,4,typical,737,709,1,4,5,6,3,9
21,7,20,2,4,typical,750,710,3,7,6,8,5,7
21,8,20,2,4,typical,748,713,1,1,2,4,1,2
21,9,20,2,4,typical,721,714,1,1,5,3,1,3
21,10,20,2,4,typical,744,716,3,3,5,4,2,3
21,11,20,2,4,typical,737,719,1,5,6,7,6,7
21,12,20,2,4,typical,744,722,1,8,6,9,7,6
21,13,20,2,4,typical,748,730,1,7,6,8,5,4
21,14,20,2,4,typical,721,733,1,6,6,8,7,7
21,15,20,2,4,typical,750,736,3,4,4,6,2,5
21,16,20,2,4,typical,748,740,1,7,5,7,6,7
21,17,20,2,4,typical,750,743,1,8,5,8,7,6
21,18,20,2,4,typical,737,745,1,3,6,4,1,3
21,19,20,2,4,typical,744,746,2,5,7,6,4,9
21,20,20,2,4,typical,721,749,1,3,5,4,2,5
22,1,28,2,4,atypical,750,701,2,3,3,6,6,6
22,2,28,2,4,atypical,721,703,1,6,5,7,7,5
22,3,28,2,4,atypical,737,704,2,4,4,3,3,6
22,4,28,2,4,atypical,744,706,2,5,5,6,6,6
22,5,28,2,4,atypical,748,707,3,7,6,5,5,6
22,6,28,2,4,atypical,737,709,3,6,5,7,7,6
22,7,28,2,4,atypical,750,710,2,4,5,6,6,6
22,8,28,2,4,atypical,748,713,2,7,6,6,6,5
22,9,28,2,4,atypical,721,714,2,5,4,6,6,6
22,10,28,2,4,atypical,744,716,2,4,6,4,4,5
22,11,28,2,4,atypical,737,719,2,5,4,6,6,5
22,12,28,2,4,atypical,744,722,2,6,4,6,6,5
22,13,28,2,4,atypical,748,730,3,4,4,5,5,5
22,14,28,2,4,atypical,721,733,1,3,3,6,6,5
22,15,28,2,4,atypical,750,736,2,6,5,5,6,6
22,16,28,2,4,atypical,748,740,2,4,4,5,5,6
22,17,28,2,4,atypical,750,743,2,4,4,4,4,4
22,18,28,2,4,atypical,737,745,2,5,5,6,6,6
22,19,28,2,4,atypical,744,746,2,6,5,6,6,6
22,20,28,2,4,atypical,721,749,1,6,6,5,5,6
23,1,20,2,3,atypical,721,749,1,8,8,7,5,8
23,2,20,2,3,atypical,744,746,2,4,7,6,5,6
