ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
3,1,10,19,2,4,4,6,3,male,fem,721,749,1,8,8,8,8,8
3,2,10,19,2,4,4,6,3,male,fem,744,746,2,8,7,8,9,6
3,3,10,19,2,4,4,6,3,male,fem,737,745,2,9,8,8,9,7
3,4,10,19,2,4,4,6,3,male,fem,750,743,2,5,6,7,6,9
3,5,10,19,2,4,4,6,3,male,fem,748,740,2,8,8,8,9,8
3,6,10,19,2,4,4,6,3,male,fem,750,736,2,9,9,9,9,8
3,7,10,19,2,4,4,6,3,male,fem,721,733,1,7,7,8,8,9
3,8,10,19,2,4,4,6,3,male,fem,748,730,2,8,7,8,8,6
3,9,10,19,2,4,4,6,3,male,fem,744,722,2,6,7,8,7,9
3,10,10,19,2,4,4,6,3,male,fem,737,719,2,7,7,8,8,8
3,11,10,19,2,4,4,6,3,male,fem,744,716,2,9,8,9,9,8
3,12,10,19,2,4,4,6,3,male,fem,721,714,2,9,9,9,9,7
3,13,10,19,2,4,4,6,3,male,fem,748,713,2,7,7,8,8,7
3,14,10,19,2,4,4,6,3,male,fem,750,710,2,8,7,6,6,9
3,15,10,19,2,4,4,6,3,male,fem,737,709,2,9,8,9,9,8
3,16,10,19,2,4,4,6,3,male,fem,748,707,2,9,9,8,8,7
3,17,10,19,2,4,4,6,3,male,fem,744,706,3,9,6,8,9,7
3,18,10,19,2,4,4,6,3,male,fem,737,704,2,6,7,7,8,6
3,19,10,19,2,4,4,6,3,male,fem,721,703,1,7,7,8,8,8
3,20,10,19,2,4,4,6,3,male,fem,750,701,2,9,7,9,8,5
3,21,10,19,2,4,4,6,3,female,fem,128,663,2,9,8,9,9,7
3,22,10,19,2,4,4,6,3,female,fem,173,508,2,8,8,9,9,8
3,23,10,19,2,4,4,6,3,female,fem,365,437,2,9,7,9,9,8
3,24,10,19,2,4,4,6,3,female,fem,377,417,2,8,5,8,9,7
3,25,10,19,2,4,4,6,3,female,fem,354,413,2,9,9,8,9,7
3,26,10,19,2,4,4,6,3,female,fem,354,406,3,9,8,9,9,7
3,27,10,19,2,4,4,6,3,female,fem,128,380,2,8,4,7,8,6
3,28,10,19,2,4,4,6,3,female,fem,173,371,3,6,8,8,7,9
3,29,10,19,2,4,4,6,3,female,fem,365,367,2,9,8,9,9,7
3,30,10,19,2,4,4,6,3,female,fem,377,354,2,8,8,7,7,9
3,31,10,19,2,4,4,6,3,female,fem,173,338,2,8,7,8,8,8
3,32,10,19,2,4,4,6,3,female,fem,377,333,2,8,7,7,7,8
3,33,10,19,2,4,4,6,3,female,fem,128,323,2,5,6,6,7,8
3,34,10,19,2,4,4,6,3,female,fem,354,319,2,7,8,7,7,5
3,35,10,19,2,4,4,6,3,female,fem,365,315,2,7,6,8,7,5
3,36,10,19,2,4,4,6,3,female,fem,128,199,2,9,6,8,9,8
3,37,10,19,2,4,4,6,3,female,fem,354,144,2,8,9,8,9,9
3,38,10,19,2,4,4,6,3,female,fem,173,121,3,9,9,9,9,8
3,39,10,19,2,4,4,6,3,female,fem,365,112,2,8,4,7,8,6
3,40,10,19,2,4,4,6,3,female,fem,377,103,2,7,8,7,7,9
4,1,3,30,1,4,2,1,7,female,masc,377,103,2,9,9,9,9,9
4,2,3,30,1,4,2,1,7,female,masc,365,112,1,7,8,7,8,8
4,3,3,30,1,4,2,1,7,female,masc,173,121,2,8,8,8,8,9
4,4,3,30,1,4,2,1,7,female,masc,354,144,3,7,7,8,7,8
4,5,3,30,1,4,2,1,7,female,masc,128,199,3,6,7,7,6,7
4,6,3,30,1,4,2,1,7,female,masc,365,315,1,8,9,8,9,6
4,7,3,30,1,4,2,1,7,female,masc,354,319,2,6,6,6,6,5
4,8,3,30,1,4,2,1,7,female,masc,128,323,3,5,6,5,5,6
4,9,3,30,1,4,2,1,7,female,masc,377,333,3,9,9,8,9,7
4,10,3,30,1,4,2,1,7,female,masc,173,338,2,7,8,8,8,7
4,11,3,30,1,4,2,1,7,female,masc,377,354,3,8,8,8,8,7
4,12,3,30,1,4,2,1,7,female,masc,365,367,3,7,8,7,8,6
4,13,3,30,1,4,2,1,7,female,masc,173,371,3,9,9,9,9,9
4,14,3,30,1,4,2,1,7,female,masc,128,380,3,6,4,6,7,8
4,15,3,30,1,4,2,1,7,female,masc,354,406,1,9,9,8,9,8
4,16,3,30,1,4,2,1,7,female,masc,354,413,3,8,9,8,8,7
4,17,3,30,1,4,2,1,7,female,masc,377,417,2,7,7,8,8,8
4,18,3,30,1,4,2,1,7,female,masc,365,437,3,8,8,8,9,7
4,19,3,30,1,4,2,1,7,female,masc,173,508,3,8,7,7,8,8
4,20,3,30,1,4,2,1,7,female,masc,128,663,3,8,8,9,8,8
4,21,3,30,1,4,2,1,7,male,masc,721,749,2,8,8,8,8,8
4,22,3,30,1,4,2,1,7,male,masc,744,746,3,5,6,6,5,7
4,23,3,30,1,4,2,1,7,male,masc,737,745,2,8,8,8,8,8
4,24,3,30,1,4,2,1,7,male,masc,750,743,2,5,5,4,4,5
4,25,3,30,1,4,2,1,7,male,masc,748,740,2,6,6,7,7,7
4,26,3,30,1,4,2,1,7,male,masc,750,736,3,6,6,7,6,6
4,27,3,30,1,4,2,1,7,male,masc,721,733,2,7,7,9,8,8
4,28,3,30,1,4,2,1,7,male,masc,748,730,3,5,5,6,6,8
4,29,3,30,1,4,2,1,7,male,masc,744,722,3,5,6,8,8,8
4,30,3,30,1,4,2,1,7,male,masc,737,719,3,6,6,7,5,7
4,31,3,30,1,4,2,1,7,male,masc,744,716,3,3,6,5,4,6
4,32,3,30,1,4,2,1,7,male,masc,721,714,3,7,6,6,7,7
4,33,3,30,1,4,2,1,7,male,masc,748,713,2,6,6,6,7,6
4,34,3,30,1,4,2,1,7,male,masc,750,710,3,8,7,7,8,7
4,35,3,30,1,4,2,1,7,male,masc,737,709,1,7,6,7,7,7
4,36,3,30,1,4,2,1,7,male,masc,748,707,3,7,6,6,7,7
4,37,3,30,1,4,2,1,7,male,masc,744,706,1,7,6,6,7,6
4,38,3,30,1,4,2,1,7,male,masc,737,704,3,3,3,5,4,4
4,39,3,30,1,4,2,1,7,male,masc,721,703,2,6,7,6,6,7
4,40,3,30,1,4,2,1,7,male,masc,750,701,1,6,6,7,6,7
5,1,10,19,1,4,4,5,2,male,fem,750,701,2,3,4,7,7,6
5,2,10,19,1,4,4,5,2,male,fem,721,703,1,7,9,5,8,7
5,3,10,19,1,4,4,5,2,male,fem,737,704,2,9,6,7,6,7
5,4,10,19,1,4,4,5,2,male,fem,744,706,3,9,8,9,9,3
5,5,10,19,1,4,4,5,2,male,fem,748,707,2,9,9,9,9,3
5,6,10,19,1,4,4,5,2,male,fem,737,709,2,9,7,8,8,6
5,7,10,19,1,4,4,5,2,male,fem,750,710,2,9,7,9,7,9
5,8,10,19,1,4,4,5,2,male,fem,748,713,2,8,7,8,7,9
5,9,10,19,1,4,4,5,2,male,fem,721,714,1,4,2,7,9,8
5,10,10,19,1,4,4,5,2,male,fem,744,716,2,8,5,8,6,6
5,11,10,19,1,4,4,5,2,male,fem,737,719,2,1,1,7,9,5
5,12,10,19,1,4,4,5,2,male,fem,744,722,2,5,9,4,6,7
5,13,10,19,1,4,4,5,2,male,fem,748,730,3,3,6,7,5,3
5,14,10,19,1,4,4,5,2,male,fem,721,733,2,3,6,6,7,3
5,15,10,19,1,4,4,5,2,male,fem,750,736,3,5,7,6,7,8
5,16,10,19,1,4,4,5,2,male,fem,748,740,3,8,9,9,9,7
5,17,10,19,1,4,4,5,2,male,fem,750,743,2,1,3,7,9,4
5,18,10,19,1,4,4,5,2,male,fem,737,745,2,4,6,6,4,7
5,19,10,19,1,4,4,5,2,male,fem,744,746,2,7,6,7,7,6
5,20,10,19,1,4,4,5,2,male,fem,721,749,2,5,7,7,8,9
5,21,10,19,1,4,4,5,2,female,fem,377,103,2,9,8,9,8,9
5,22,10,19,1,4,4,5,2,female,fem,365,122,3,9,8,9,9,5
5,23,10,19,1,4,4,5,2,female,fem,173,121,2,3,6,5,9,6
5,24,10,19,1,4,4,5,2,female,fem,354,144,1,9,9,9,9,1
5,25,10,19,1,4,4,5,2,female,fem,128,199,3,9,7,9,6,8
5,26,10,19,1,4,4,5,2,female,fem,365,315,3,9,9,8,9,3
5,27,10,19,1,4,4,5,2,female,fem,354,319,3,1,9,6,5,7
5,28,10,19,1,4,4,5,2,female,fem,128,323,1,9,9,8,9,7
5,29,10,19,1,4,4,5,2,female,fem,377,333,3,9,9,8,9,5
5,30,10,19,1,4,4,5,2,female,fem,173,338,2,7,6,7,6,4
5,31,10,19,1,4,4,5,2,female,fem,377,354,2,5,7,5,9,5
5,32,10,19,1,4,4,5,2,female,fem,365,367,2,6,7,6,6,7
5,33,10,19,1,4,4,5,2,female,fem,173,371,2,5,7,6,6,8
5,34,10,19,1,4,4,5,2,female,fem,128,380,2,1,1,9,9,1
5,35,10,19,1,4,4,5,2,female,fem,354,406,2,7,9,8,9,4
5,36,10,19,1,4,4,5,2,female,fem,354,413,3,9,9,9,8,4
5,37,10,19,1,4,4,5,2,female,fem,377,417,2,9,8,8,6,7
5,38,10,19,1,4,4,5,2,female,fem,365,437,3,9,9,9,9,4
5,39,10,19,1,4,4,5,2,female,fem,173,508,2,8,5,5,7,3
5,40,10,19,1,4,4,5,2,female,fem,128,663,2,9,9,9,9,1
6,1,3,24,2,4,4,1,4,female,masc,128,663,1,7,7,8,8,6
6,2,3,24,2,4,4,1,4,female,masc,173,508,3,7,4,6,6,4
6,3,3,24,2,4,4,1,4,female,masc,365,437,2,6,6,7,7,7
6,4,3,24,2,4,4,1,4,female,masc,377,417,3,8,6,8,9,5
6,5,3,24,2,4,4,1,4,female,masc,354,413,3,7,9,8,8,2
6,6,3,24,2,4,4,1,4,female,masc,354,406,1,9,9,9,9,5
6,7,3,24,2,4,4,1,4,female,masc,128,380,1,7,5,3,4,3
6,8,3,24,2,4,4,1,4,female,masc,173,371,3,6,5,6,6,6
6,9,3,24,2,4,4,1,4,female,masc,365,367,3,6,5,7,6,7
6,10,3,24,2,4,4,1,4,female,masc,377,354,1,9,9,9,9,7
6,11,3,24,2,4,4,1,4,female,masc,173,338,1,7,6,7,7,5
6,12,3,24,2,4,4,1,4,female,masc,377,333,3,7,5,7,7,4
6,13,3,24,2,4,4,1,4,female,masc,128,323,1,3,3,3,2,5
6,14,3,24,2,4,4,1,4,female,masc,354,319,3,5,5,6,5,4
6,15,3,24,2,4,4,1,4,female,masc,365,315,3,5,5,5,5,5
6,16,3,24,2,4,4,1,4,female,masc,128,199,3,7,6,7,7,3
6,17,3,24,2,4,4,1,4,female,masc,354,144,3,9,9,9,9,6
6,18,3,24,2,4,4,1,4,female,masc,173,121,1,9,8,9,9,3
6,19,3,24,2,4,4,1,4,female,masc,365,112,3,8,6,9,9,4
