ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
4,1,4,18,2,1,4,3,2,female,atypical,128,663,1,3,4,7,6,8
4,2,4,18,2,1,4,3,2,female,atypical,173,508,1,5,3,6,7,4
4,3,4,18,2,1,4,3,2,female,atypical,365,437,2,6,7,7,8,7
4,4,4,18,2,1,4,3,2,female,atypical,377,417,3,5,6,6,7,8
4,5,4,18,2,1,4,3,2,female,atypical,354,413,2,3,8,6,4,2
4,6,4,18,2,1,4,3,2,female,atypical,354,406,1,4,7,6,5,7
4,7,4,18,2,1,4,3,2,female,atypical,128,380,1,4,2,6,5,4
4,8,4,18,2,1,4,3,2,female,atypical,173,371,2,6,8,6,6,7
4,9,4,18,2,1,4,3,2,female,atypical,365,367,2,7,4,6,7,4
4,10,4,18,2,1,4,3,2,female,atypical,377,354,3,6,5,7,6,7
4,11,4,18,2,1,4,3,2,female,atypical,173,338,1,5,4,6,5,8
4,12,4,18,2,1,4,3,2,female,atypical,377,333,1,3,4,5,4,3
4,13,4,18,2,1,4,3,2,female,atypical,128,323,2,4,3,6,5,8
4,14,4,18,2,1,4,3,2,female,atypical,354,319,2,5,8,7,5,6
4,15,4,18,2,1,4,3,2,female,atypical,365,315,2,5,3,5,6,8
4,16,4,18,2,1,4,3,2,female,atypical,128,199,3,3,3,5,4,7
4,17,4,18,2,1,4,3,2,female,atypical,354,144,3,7,4,6,6,7
4,18,4,18,2,1,4,3,2,female,atypical,173,121,1,3,3,5,6,6
4,19,4,18,2,1,4,3,2,female,atypical,365,112,3,6,2,7,6,4
4,20,4,18,2,1,4,3,2,female,atypical,377,103,2,2,8,7,7,4
4,21,4,18,2,1,4,3,2,male,atypical,721,749,1,8,7,8,8,7
4,22,4,18,2,1,4,3,2,male,atypical,744,746,2,3,6,5,3,7
4,23,4,18,2,1,4,3,2,male,atypical,737,745,3,7,6,6,5,7
4,24,4,18,2,1,4,3,2,male,atypical,750,743,2,4,3,7,6,7
4,25,4,18,2,1,4,3,2,male,atypical,748,740,1,3,4,3,3,6
4,26,4,18,2,1,4,3,2,male,atypical,750,736,3,6,7,6,6,5
4,27,4,18,2,1,4,3,2,male,atypical,721,733,1,5,4,6,6,7
4,28,4,18,2,1,4,3,2,male,atypical,748,730,3,6,7,6,5,6
4,29,4,18,2,1,4,3,2,male,atypical,744,722,2,3,4,7,5,7
