ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
4,21,18,2,1,male,atypical,721,749,1,8,7,8,8,7
4,22,18,2,1,male,atypical,744,746,2,3,6,5,3,7
4,23,18,2,1,male,atypical,737,745,3,7,6,6,5,7
4,24,18,2,1,male,atypical,750,743,2,4,3,7,6,7
4,25,18,2,1,male,atypical,748,740,1,3,4,3,3,6
4,26,18,2,1,male,atypical,750,736,3,6,7,6,6,5
4,27,18,2,1,male,atypical,721,733,1,5,4,6,6,7
4,28,18,2,1,male,atypical,748,730,3,6,7,6,5,6
4,29,18,2,1,male,atypical,744,722,2,3,4,7,5,7
4,30,18,2,1,male,atypical,737,719,1,2,4,5,4,7
4,31,18,2,1,male,atypical,744,716,3,4,7,6,5,4
4,32,18,2,1,male,atypical,721,714,1,6,6,4,4,6
4,33,18,2,1,male,atypical,748,713,3,3,4,4,4,6
4,34,18,2,1,male,atypical,750,710,3,6,4,6,6,7
4,35,18,2,1,male,atypical,737,709,1,6,5,6,6,5
4,36,18,2,1,male,atypical,748,707,2,2,3,4,3,7
4,37,18,2,1,male,atypical,744,706,3,4,3,4,4,5
4,38,18,2,1,male,atypical,737,704,1,3,3,2,3,7
4,39,18,2,1,male,atypical,721,703,1,5,6,5,4,7
4,40,18,2,1,male,atypical,750,701,3,3,3,5,6,5
5,1,18,1,4,female,atypical,377,103,1,6,8,7,4,7
5,2,18,1,4,female,atypical,365,112,1,8,7,8,8,8
5,3,18,1,4,female,atypical,173,121,1,6,7,7,5,7
5,4,18,1,4,female,atypical,354,144,2,7,8,7,7,8
5,5,18,1,4,female,atypical,128,199,1,7,6,6,5,6
5,6,18,1,4,female,atypical,365,315,1,3,6,4,3,6
5,7,18,1,4,female,atypical,354,319,2,5,7,6,3,7
5,8,18,1,4,female,atypical,128,323,1,7,7,6,7,8
5,9,18,1,4,female,atypical,377,333,2,6,6,5,5,6
5,10,18,1,4,female,atypical,173,338,1,6,7,7,6,8
5,11,18,1,4,female,atypical,377,354,1,7,8,8,7,8
5,12,18,1,4,female,atypical,365,367,1,8,7,8,8,7
5,13,18,1,4,female,atypical,173,371,1,5,7,7,6,7
5,14,18,1,4,female,atypical,128,380,3,4,7,7,3,8
5,15,18,1,4,female,atypical,354,406,1,6,8,7,5,7
5,16,18,1,4,female,atypical,354,413,1,4,8,7,4,8
5,17,18,1,4,female,atypical,377,417,1,7,8,8,7,8
5,18,18,1,4,female,atypical,365,437,1,8,6,8,7,8
5,19,18,1,4,female,atypical,173,508,1,3,6,6,2,6
5,20,18,1,4,female,atypical,128,663,2,6,6,7,5,6
5,21,18,1,4,male,atypical,750,701,2,4,5,6,4,5
5,22,18,1,4,male,atypical,721,703,1,5,5,6,4,7
5,23,18,1,4,male,atypical,737,704,2,3,4,6,3,5
5,24,18,1,4,male,atypical,744,706,2,5,5,7,4,6
5,25,18,1,4,male,atypical,748,707,2,7,7,8,6,7
5,26,18,1,4,male,atypical,737,709,1,4,6,5,4,6
5,27,18,1,4,male,atypical,750,710,2,6,6,5,5,7
5,28,18,1,4,male,atypical,748,713,2,3,7,5,4,6
5,29,18,1,4,male,atypical,721,714,2,8,7,8,8,7
5,30,18,1,4,male,atypical,744,716,2,3,6,5,4,6
5,31,18,1,4,male,atypical,737,719,2,4,6,5,3,5
5,32,18,1,4,male,atypical,744,722,2,7,8,8,8,7
5,33,18,1,4,male,atypical,748,730,2,3,5,5,5,6
5,34,18,1,4,male,atypical,721,733,1,7,7,8,8,7
5,35,18,1,4,male,atypical,750,736,2,8,7,8,7,7
5,36,18,1,4,male,atypical,748,740,2,5,5,6,4,6
5,37,18,1,4,male,atypical,750,743,2,3,4,6,5,5
