ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
6,8,29,1,2,typical,128,323,2,1,1,1,1,1
6,9,29,1,2,typical,377,333,3,8,6,3,7,8
6,10,29,1,2,typical,173,338,2,5,8,5,5,7
6,11,29,1,2,typical,377,354,3,5,7,6,7,7
6,12,29,1,2,typical,365,367,2,4,6,5,7,2
6,13,29,1,2,typical,173,371,2,6,6,6,7,8
6,14,29,1,2,typical,128,380,2,4,3,6,5,1
6,15,29,1,2,typical,354,406,2,5,8,5,5,9
6,16,29,1,2,typical,354,413,3,5,7,8,9,1
6,17,29,1,2,typical,377,417,3,4,7,4,3,8
6,18,29,1,2,typical,365,437,2,3,7,6,7,6
6,19,29,1,2,typical,173,508,3,7,8,7,7,3
6,20,29,1,2,typical,128,663,2,3,6,6,7,7
7,1,23,2,3,atypical,377,103,2,2,3,4,5,5
7,2,23,2,3,atypical,365,112,3,3,3,3,5,4
7,3,23,2,3,atypical,173,121,1,3,4,4,5,4
7,4,23,2,3,atypical,354,144,2,4,5,4,5,4
7,5,23,2,3,atypical,128,199,3,1,2,3,5,5
7,6,23,2,3,atypical,365,315,2,1,3,2,5,5
7,7,23,2,3,atypical,354,319,3,3,3,4,5,5
7,8,23,2,3,atypical,128,323,3,1,2,3,4,5
7,9,23,2,3,atypical,377,333,1,5,4,5,7,6
7,10,23,2,3,atypical,173,338,1,1,3,2,4,4
7,11,23,2,3,atypical,377,354,2,1,3,2,5,4
7,12,23,2,3,atypical,365,367,2,1,2,2,5,6
7,13,23,2,3,atypical,173,371,1,1,2,2,4,5
7,14,23,2,3,atypical,128,380,3,2,2,3,5,3
7,15,23,2,3,atypical,354,406,2,1,2,1,4,5
7,16,23,2,3,atypical,354,413,1,2,3,2,4,5
7,17,23,2,3,atypical,377,417,1,1,2,2,4,5
7,18,23,2,3,atypical,365,437,3,1,2,2,5,4
7,19,23,2,3,atypical,173,508,1,1,2,1,3,3
7,20,23,2,3,atypical,128,663,2,1,2,1,2,2
8,1,24,2,4,typical,377,103,2,9,9,5,5,9
8,2,24,2,4,typical,365,122,3,5,5,5,5,9
8,3,24,2,4,typical,173,121,3,6,6,5,5,9
8,4,24,2,4,typical,354,144,2,6,6,6,6,9
8,5,24,2,4,typical,128,199,1,5,6,5,5,6
8,6,24,2,4,typical,365,315,2,3,5,5,5,5
8,7,24,2,4,typical,354,319,2,5,5,5,5,6
8,8,24,2,4,typical,128,323,3,5,5,5,5,6
8,9,24,2,4,typical,377,333,2,5,5,5,5,6
8,10,24,2,4,typical,173,338,3,5,5,5,6,6
8,11,24,2,4,typical,377,354,2,6,6,6,6,6
8,12,24,2,4,typical,365,367,3,5,5,5,5,5
8,13,24,2,4,typical,173,371,3,5,5,5,5,5
8,14,24,2,4,typical,128,380,1,5,5,5,5,7
8,15,24,2,4,typical,354,406,2,5,5,5,5,7
8,16,24,2,4,typical,354,413,3,5,5,5,5,5
8,17,24,2,4,typical,377,417,2,5,5,5,5,4
8,18,24,2,4,typical,365,437,2,5,5,5,5,5
