ID,trial,Computer,Age,Sex,SO,Race,Politics,Education,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
5,5,5,36,2,1,4,3,5,atypical,128,199,3,5,5,7,7,5
5,6,5,36,2,1,4,3,5,atypical,365,315,2,6,7,5,5,6
5,7,5,36,2,1,4,3,5,atypical,354,319,2,7,8,8,8,7
5,8,5,36,2,1,4,3,5,atypical,128,323,1,5,6,6,6,5
5,9,5,36,2,1,4,3,5,atypical,377,333,1,7,8,6,6,7
5,10,5,36,2,1,4,3,5,atypical,173,338,1,8,8,8,8,8
5,11,5,36,2,1,4,3,5,atypical,377,354,1,9,9,9,9,7
5,12,5,36,2,1,4,3,5,atypical,365,367,3,6,7,7,7,7
5,13,5,36,2,1,4,3,5,atypical,173,371,1,8,8,8,8,6
5,14,5,36,2,1,4,3,5,atypical,128,380,1,3,3,5,5,3
5,15,5,36,2,1,4,3,5,atypical,354,406,3,9,9,8,8,7
5,16,5,36,2,1,4,3,5,atypical,354,413,1,9,9,8,8,7
5,17,5,36,2,1,4,3,5,atypical,377,417,1,5,4,6,6,6
5,18,5,36,2,1,4,3,5,atypical,365,437,2,7,6,6,6,8
5,19,5,36,2,1,4,3,5,atypical,173,508,1,3,3,6,6,4
5,20,5,36,2,1,4,3,5,atypical,128,663,2,2,2,6,6,2
6,1,6,29,1,1,2,4,7,typical,377,103,2,4,9,2,3,8
6,2,6,29,1,1,2,4,7,typical,365,122,2,8,3,7,9,6
6,3,6,29,1,1,2,4,7,typical,173,121,2,7,2,8,9,4
6,4,6,29,1,1,2,4,7,typical,354,144,2,3,2,1,8,3
6,5,6,29,1,1,2,4,7,typical,128,199,2,1,7,1,2,9
6,6,6,29,1,1,2,4,7,typical,365,315,2,4,7,3,1,7
6,7,6,29,1,1,2,4,7,typical,354,319,2,2,3,1,3,1
6,8,6,29,1,1,2,4,7,typical,128,323,2,1,1,1,1,1
6,9,6,29,1,1,2,4,7,typical,377,333,3,8,6,3,7,8
6,10,6,29,1,1,2,4,7,typical,173,338,2,5,8,5,5,7
6,11,6,29,1,1,2,4,7,typical,377,354,3,5,7,6,7,7
6,12,6,29,1,1,2,4,7,typical,365,367,2,4,6,5,7,2
6,13,6,29,1,1,2,4,7,typical,173,371,2,6,6,6,7,8
6,14,6,29,1,1,2,4,7,typical,128,380,2,4,3,6,5,1
6,15,6,29,1,1,2,4,7,typical,354,406,2,5,8,5,5,9
6,16,6,29,1,1,2,4,7,typical,354,413,3,5,7,8,9,1
6,17,6,29,1,1,2,4,7,typical,377,417,3,4,7,4,3,8
6,18,6,29,1,1,2,4,7,typical,365,437,2,3,7,6,7,6
